chunk_id,original_text (en),translated_text (hi)
40,someone else oh my friend and mental very dangerous,कोई और मेरे दोस्त और मानसिक बहुत खतरनाक है
41,he says you are perfectly positioned to serve the person you want,वह कहता है कि आप उस व्यक्ति की सेवा करने के लिए पूरी तरह से तैनात हैं जो आप चाहते हैं
42,think about that you're stuff you better in your life,इस बारे में सोचें कि आप अपने जीवन में बेहतर सामान हैं
43,relationship learning,संबंध सीखना
44,the you can take and help other people because right now there are some,आप अन्य लोगों की मदद कर सकते हैं और मदद कर सकते हैं क्योंकि अभी कुछ हैं
45,you can take those lesson in,आप उन पाठों को ले सकते हैं
46,overcome the challenges so my life,चुनौतियों को दूर करें ताकि मेरा जीवन हो
47,I learn that I could use the help,मुझे पता है कि मैं मदद का उपयोग कर सकता हूं
48,helping people and that's why I am here today,लोगों की मदद करना और इसीलिए मैं आज यहाँ हूँ
49,this message because I overcome the fear of public speaking years ago and,यह संदेश क्योंकि मैं वर्षों पहले सार्वजनिक बोलने के डर को दूर करता हूं और
50,help me so other people can share their message with the world,मेरी मदद करें ताकि अन्य लोग दुनिया के साथ अपना संदेश साझा कर सकें
51,so first I realised I had a message to share then I started asking,तो पहले मुझे एहसास हुआ कि मेरे पास साझा करने के लिए एक संदेश था तो मैंने पूछना शुरू कर दिया
52,it makes me so nervous before I get up to speak,बोलने के लिए उठने से पहले यह मुझे इतना घबराता है
53,you're gonna judge me what,तुम मुझे जज करने वाले हो
54,my voice,मेरी आवाज़
55,what if I mess up and I say the wrong thing all the stars,क्या होगा अगर मैं गड़बड़ करता हूं और मैं सभी सितारों को गलत बात कहता हूं
56,my hair without me me me me me me me I realised I need,मेरे बिना मेरे बाल मुझे मुझे मुझे मुझे एहसास हुआ कि मुझे जरूरत है
57,help me overcome my,मेरी मदद करो मेरे पर काबू पाने के लिए
58,public speaking was realising the sharing your message is not about you,सार्वजनिक बोलने का एहसास हो रहा था कि आपका संदेश साझा करना आपके बारे में नहीं है
59,it's about the people are there to serve and what's in it for them,यह लोगों की सेवा करने के लिए है और उनके लिए इसमें क्या है
60,my friend birthday is the best is he told me Fe,मेरे दोस्त का जन्मदिन सबसे अच्छा है उसने मुझे Fe बताया
61,When the mission to serve is clear when you have the,जब सेवा करने का मिशन स्पष्ट हो जाता है जब आपके पास होता है
62,people you take the focus of you insert focusing on what's the,"जिन लोगों को आप ध्यान में रखते हैं, वे इस पर ध्यान केंद्रित करते हैं कि क्या है"
63,by hearing my message in that change everything for me,मेरे संदेश को सुनकर मेरे लिए सब कुछ बदल गया
64,sorry focusing on what are they can I get out of my,"क्षमा करें, इस पर ध्यान केंद्रित करना कि वे क्या कर सकते हैं मैं अपने से बाहर निकल सकता हूं"
65,I realised if one person takes what I have to say and apply,मुझे एहसास हुआ कि अगर एक व्यक्ति को वह कहना है जो मुझे कहना है और लागू करना है
66,wife it was worth it so ke number 1 is you,पत्नी यह इसके लायक था इसलिए के नंबर 1 आप हैं
67,number 2 you message is not about you,नंबर 2 आप संदेश आपके बारे में नहीं है
68,it's about the people are there to serve the next thing I started to do,यह लोगों के बारे में है कि मैं अगली चीज की सेवा करने के लिए हूं जो मैंने करना शुरू किया है
69,what is fear and fears our body is natural,डर क्या है और हमारे शरीर को डर है
70,on our body feels danger we going to the fighter flight response,हमारे शरीर पर हम लड़ाकू उड़ान प्रतिक्रिया के लिए खतरा महसूस करते हैं
71,America where to run for 5 for our lives,अमेरिका जहां हमारे जीवन के लिए 5 के लिए चलाने के लिए
72,what are the common causes of fear in the most common phy,सबसे आम phy में भय के सामान्य कारण क्या हैं
74,muscle tension sweating dry mouth and butterflies in the stomach,मांसपेशियों में पसीना आ रहा है सूखा मुंह और पेट में तितलियों
75,when I will get up to speak,जब मैं बोलने के लिए उठूंगा
76,myself what other times do I feel those feelings why,खुद को और क्या समय मैं उन भावनाओं को महसूस करता हूं
77,so I looked up what are the most common,इसलिए मैंने देखा कि सबसे आम क्या है
78,physiological responses to excitement,उत्तेजना के लिए शारीरिक प्रतिक्रियाएं
79,increase heart rate increase,हृदय गति में वृद्धि में वृद्धि
80,dry mouth and butterflies in the stomach our bodies go to the,पेट में सूखे मुंह और तितलियाँ हमारे शरीर में जाते हैं
81,same physiological response in response to fear or,डर के जवाब में एक ही शारीरिक प्रतिक्रिया या
82,so the way to tell the difference if it's fear is associated,तो अंतर बताने का तरीका अगर यह डर जुड़ा हुआ है
83,or if it's excitement is positive,या अगर यह उत्साह सकारात्मक है
84,show all comes down to am I in danger or am,दिखाएँ सभी मैं खतरे में हूँ या हूँ
85,help me overcome my fear,मेरे डर को दूर करने में मेरी मदद करें
86,was that I could transform my fear into excitement,यह था कि मैं अपने डर को उत्तेजना में बदल सकता था
87,share your message and you feel those familiar feelings what,अपना संदेश साझा करें और आप उन परिचित भावनाओं को महसूस करते हैं जो
88,remember,याद करना
89,please speak before that India so well you're going to judge you this is it for you,कृपया इससे पहले कि भारत को इतना अच्छी तरह से बोलें कि आप यह जज करने जा रहे हैं कि यह आपके लिए है
90,but now what I do I,लेकिन अब मैं क्या करता हूं
91,can I create a new story so when I feel those feelings I,क्या मैं एक नई कहानी बना सकता हूं इसलिए जब मैं उन भावनाओं को महसूस करता हूं तो मैं
92,transform someone's life today,आज किसी के जीवन को बदलना
93,and now I really do get excited because I know that if I go out and,और अब मैं वास्तव में उत्साहित हो जाता हूं क्योंकि मुझे पता है कि अगर मैं बाहर जाता हूं और
94,what I have to say in the applied to their life I can make a positive,मुझे उनके जीवन पर लागू करने में क्या कहना है मैं एक सकारात्मक बना सकता हूं
95,so I want you to remember when you get up you start to feel those feelings,इसलिए मैं चाहता हूं कि जब आप उठते हैं तो आप उन भावनाओं को महसूस करने लगते हैं
96,you have the ability to transform that fear into excitement,आपके पास उस भय को उत्तेजना में बदलने की क्षमता है
97,so if you still wondering why should I share my,इसलिए अगर आप अभी भी सोच रहे हैं कि मुझे अपना क्यों साझा करना चाहिए
98,what inside do I have to make I want to take you back to,मुझे क्या करना है मैं आपको वापस ले जाना चाहता हूं
99,at the time I was giving the biggest talk that I given at,उस समय मैं सबसे बड़ी बात दे रहा था जो मैंने दिया था
100,Auditorium for 200 people I was ready,200 लोगों के लिए सभागार मैं तैयार था
101,I knew my message my mission to serve was clear I transfer my fear,मुझे पता था कि मेरा संदेश मेरी सेवा करने के लिए स्पष्ट था कि मैं अपने डर को स्थानांतरित करता हूं
103,I want to thank you for sharing that message,मैं उस संदेश को साझा करने के लिए धन्यवाद देना चाहता हूं
104,he said I recently underweight quadruple bypass surgery,उन्होंने कहा कि मैं हाल ही में कम वजन वाले चौगुनी बाईपास सर्जरी करता हूं
105,lying in the hospital bed my family They brought in my little,अस्पताल के बिस्तर में झूठ बोलते हुए मेरे परिवार में वे मेरे छोटे में लाए
106,my grandson and,मेरे पोते और
107,I am going to get my health back because I am going to be,मैं अपने स्वास्थ्य को वापस लाने जा रहा हूं क्योंकि मैं होने जा रहा हूं
108,turn on the watch my grandson Grover in he said why you just share with me game,घड़ी मेरे पोते ग्रोवर में उन्होंने कहा कि आप सिर्फ मेरे खेल के साथ साझा क्यों करते हैं
109,but I needed to get my health pack,लेकिन मुझे अपना स्वास्थ्य पैक पाने की जरूरत थी
110,it's 65 years old he completed the Iron Man which is the grow,यह 65 साल का है उसने आयरन मैन को पूरा किया जो कि बढ़ता है
111,which is the 2.4 miles when 1112,1112 जब 2.4 मील की दूरी पर है
112,any complete Marathon of 26.2 miles,26.2 मील का कोई भी पूरा मैराथन
113,Iron Man races,आयरन मैन रेस
114,I never would have been able to make a difference in his life,मैं कभी भी उनके जीवन में कोई बदलाव नहीं कर पाता
115,if I want to overcome my fear of public speaking if I went to realise I had,अगर मैं सार्वजनिक बोलने के अपने डर को दूर करना चाहता हूं तो अगर मुझे एहसास हुआ कि मेरे पास है
116,sharing that message I never would have been,उस संदेश को साझा करना मैं कभी नहीं होता
117,but just like that man need to hear my message in,लेकिन जैसे उस आदमी को मेरा संदेश सुनने की जरूरत है
118,there is someone it's desperately waiting to hear your message,कोई है जो आपके संदेश को सुनने के लिए सख्त प्रतीक्षा कर रहा है
119,so what should,तो क्या करना चाहिए
120,what impact can I make if I overcome my,अगर मैं अपने को पार कर सकता हूं तो मैं क्या प्रभाव डाल सकता हूं
121,pear public speaking in our sharing my message with the world what life can I touch,नाशपाती सार्वजनिक रूप से हमारे संदेश को दुनिया के साथ साझा करने में बोल रहा हूं कि मैं क्या जीवन छू सकता हूं
122,what Legacy can I leave but positive impact can I make,मैं क्या विरासत छोड़ सकता हूं लेकिन सकारात्मक प्रभाव मैं कर सकता हूं
123,my favourite quotes from DJ Parmar,डीजे परमार से मेरा पसंदीदा उद्धरण
124,this is you never know how far reaching something you might think say or do,यह आप कभी नहीं जानते हैं कि आप क्या कह सकते हैं या क्या कर सकते हैं
125,will affect the lives of millions tomorrow,कल लाखों लोगों के जीवन को प्रभावित करेगा
126,how many years ago the one day I was going to be standing on the status,कितने साल पहले एक दिन मैं स्थिति पर खड़ा होने जा रहा था
127,share my message with the world,दुनिया के साथ मेरा संदेश साझा करें
128,no way but I am here I did it if,"कोई रास्ता नहीं, लेकिन मैं यहाँ हूँ मैंने यह किया अगर"

